INFO: Linux perf interface to program uncore PMUs is present
 76.3589, 30.8663,
 89.0248, 51.7377,
 76.7944, 71.9503,
 76.3357, 71.1451,
 73.5046, 73.2465,
 86.0555, 64.5269,
   91.13, 41.9055,
 91.0351, 42.1145,
 90.2775, 41.8308,
 90.8538, 41.8356,
 90.1804, 41.5473,
 89.6565, 40.1691,
 80.9139,  389.46,
  17.698,   30675,
 28309.7, 30884.3,
 28880.3, 30975.7,
 29423.4, 31002.3,
 29356.7, 31122.6,
 29711.6, 31159.2,
 29409.2, 31079.1,
 29315.4, 31178.4,
   29700,   31111,
 29396.9, 31008.3,
 29486.8, 31149.7,
 29495.7, 31113.6,
 29633.4, 31099.5,
   29712, 31149.6,
 29107.4, 31011.8,
 29316.8, 31140.3,
 29166.3, 30965.7,
 29503.6, 31067.8,
 29527.9,   31086,
 29062.5, 30149.8,
 28798.4,0.000192385,
 2076.97,       0,
       0,       0,
